n	i	cycles
200	50	69.400000
200	55	64.300000
200	60	63.300000
200	65	63.800000
200	70	63.950000
200	75	72.200000
200	80	62.200000
200	85	61.750000
200	90	63.000000
200	95	62.350000
200	100	61.750000
200	105	61.500000
200	110	61.250000
200	115	61.800000
200	120	61.950000
200	125	61.200000
200	130	61.900000
200	135	61.700000
200	140	61.900000
200	145	61.350000
200	150	61.750000
200	155	61.350000
200	160	61.850000
200	165	92.600000
200	170	61.100000
200	175	62.150000
200	180	61.700000
200	185	61.600000
200	190	61.450000
200	195	61.850000
200	200	61.650000
